timestamp,sensor_id,value,unit
2025-06-01 00:00:00,PRESSURE001,101324.9695,Pa
2025-06-01 00:10:00,PRESSURE001,101324.9182,Pa
2025-06-01 00:20:00,PRESSURE001,101325.0419,Pa
2025-06-01 00:30:00,PRESSURE001,101324.9259,Pa
2025-06-01 00:40:00,PRESSURE001,101325.0878,Pa
2025-06-01 00:50:00,PRESSURE001,101325.0419,Pa
2025-06-01 01:00:00,PRESSURE001,101325.0369,Pa
2025-06-01 01:10:00,PRESSURE001,101325.1892,Pa
2025-06-01 01:20:00,PRESSURE001,101325.0433,Pa
2025-06-01 01:30:00,PRESSURE001,101325.0672,Pa
2025-06-01 01:40:00,PRESSURE001,101324.9345,Pa
2025-06-01 01:50:00,PRESSURE001,101325.0212,Pa
2025-06-01 02:00:00,PRESSURE001,101325.0374,Pa
2025-06-01 02:10:00,PRESSURE001,101325.0584,Pa
2025-06-01 02:20:00,PRESSURE001,101325.0203,Pa
2025-06-01 02:30:00,PRESSURE001,101324.8095,Pa
2025-06-01 02:40:00,PRESSURE001,101325.1824,Pa
2025-06-01 02:50:00,PRESSURE001,101324.9619,Pa
2025-06-01 03:00:00,PRESSURE001,101325.0264,Pa
2025-06-01 03:10:00,PRESSURE001,101324.9758,Pa
2025-06-01 03:20:00,PRESSURE001,101324.9396,Pa
2025-06-01 03:30:00,PRESSURE001,101324.9753,Pa
2025-06-01 03:40:00,PRESSURE001,101324.9115,Pa
2025-06-01 03:50:00,PRESSURE001,101325.046,Pa
2025-06-01 04:00:00,PRESSURE001,101325.0007,Pa
2025-06-01 04:10:00,PRESSURE001,101325.0159,Pa
2025-06-01 04:20:00,PRESSURE001,101325.1189,Pa
2025-06-01 04:30:00,PRESSURE001,101325.0934,Pa
2025-06-01 04:40:00,PRESSURE001,101324.9143,Pa
2025-06-01 04:50:00,PRESSURE001,101324.7475,Pa
2025-06-01 05:00:00,PRESSURE001,101325.0655,Pa
2025-06-01 05:10:00,PRESSURE001,101325.0781,Pa
2025-06-01 05:20:00,PRESSURE001,101325.0534,Pa
2025-06-01 05:30:00,PRESSURE001,101325.1735,Pa
2025-06-01 05:40:00,PRESSURE001,101324.9936,Pa
2025-06-01 05:50:00,PRESSURE001,101324.7877,Pa
2025-06-01 06:00:00,PRESSURE001,101325.1464,Pa
2025-06-01 06:10:00,PRESSURE001,101325.1098,Pa
2025-06-01 06:20:00,PRESSURE001,101324.984,Pa
2025-06-01 06:30:00,PRESSURE001,101324.9127,Pa
2025-06-01 06:40:00,PRESSURE001,101324.8717,Pa
2025-06-01 06:50:00,PRESSURE001,101324.8734,Pa
2025-06-01 07:00:00,PRESSURE001,101325.1305,Pa
2025-06-01 07:10:00,PRESSURE001,101325.1803,Pa
2025-06-01 07:20:00,PRESSURE001,101325.0057,Pa
2025-06-01 07:30:00,PRESSURE001,101324.8646,Pa
2025-06-01 07:40:00,PRESSURE001,101325.0186,Pa
2025-06-01 07:50:00,PRESSURE001,101324.9512,Pa
2025-06-01 08:00:00,PRESSURE001,101324.9233,Pa
2025-06-01 08:10:00,PRESSURE001,101324.7878,Pa
2025-06-01 08:20:00,PRESSURE001,101325.0355,Pa
2025-06-01 08:30:00,PRESSURE001,101324.8419,Pa
2025-06-01 08:40:00,PRESSURE001,101325.0302,Pa
2025-06-01 08:50:00,PRESSURE001,101325.0948,Pa
2025-06-01 09:00:00,PRESSURE001,101325.1154,Pa
2025-06-01 09:10:00,PRESSURE001,101325.0498,Pa
2025-06-01 09:20:00,PRESSURE001,101325.0638,Pa
2025-06-01 09:30:00,PRESSURE001,101324.9563,Pa
2025-06-01 09:40:00,PRESSURE001,101325.1807,Pa
2025-06-01 09:50:00,PRESSURE001,101324.9494,Pa
2025-06-01 10:00:00,PRESSURE001,101325.0179,Pa
2025-06-01 10:10:00,PRESSURE001,101325.0088,Pa
2025-06-01 10:20:00,PRESSURE001,101324.9565,Pa
2025-06-01 10:30:00,PRESSURE001,101324.875,Pa
2025-06-01 10:40:00,PRESSURE001,101324.9048,Pa
2025-06-01 10:50:00,PRESSURE001,101324.9803,Pa
2025-06-01 11:00:00,PRESSURE001,101325.175,Pa
2025-06-01 11:10:00,PRESSURE001,101325.017,Pa
2025-06-01 11:20:00,PRESSURE001,101324.936,Pa
2025-06-01 11:30:00,PRESSURE001,101325.217,Pa
2025-06-01 11:40:00,PRESSURE001,101325.0281,Pa
2025-06-01 11:50:00,PRESSURE001,101325.0585,Pa
2025-06-01 12:00:00,PRESSURE001,101324.9858,Pa
2025-06-01 12:10:00,PRESSURE001,101325.1739,Pa
2025-06-01 12:20:00,PRESSURE001,101324.975,Pa
2025-06-01 12:30:00,PRESSURE001,101325.0174,Pa
2025-06-01 12:40:00,PRESSURE001,101324.9236,Pa
2025-06-01 12:50:00,PRESSURE001,101325.1347,Pa
2025-06-01 13:00:00,PRESSURE001,101325.1503,Pa
2025-06-01 13:10:00,PRESSURE001,101324.9378,Pa
2025-06-01 13:20:00,PRESSURE001,101325.1348,Pa
2025-06-01 13:30:00,PRESSURE001,101325.0566,Pa
2025-06-01 13:40:00,PRESSURE001,101324.9675,Pa
2025-06-01 13:50:00,PRESSURE001,101325.0536,Pa
2025-06-01 14:00:00,PRESSURE001,101325.1401,Pa
2025-06-01 14:10:00,PRESSURE001,101324.88,Pa
2025-06-01 14:20:00,PRESSURE001,101324.8805,Pa
2025-06-01 14:30:00,PRESSURE001,101325.2005,Pa
2025-06-01 14:40:00,PRESSURE001,101324.9258,Pa
2025-06-01 14:50:00,PRESSURE001,101325.0748,Pa
2025-06-01 15:00:00,PRESSURE001,101325.0884,Pa
2025-06-01 15:10:00,PRESSURE001,101324.9906,Pa
2025-06-01 15:20:00,PRESSURE001,101325.1504,Pa
2025-06-01 15:30:00,PRESSURE001,101325.1262,Pa
2025-06-01 15:40:00,PRESSURE001,101325.1481,Pa
2025-06-01 15:50:00,PRESSURE001,101325.0015,Pa
2025-06-01 16:00:00,PRESSURE001,101324.832,Pa
2025-06-01 16:10:00,PRESSURE001,101324.897,Pa
2025-06-01 16:20:00,PRESSURE001,101324.9621,Pa
2025-06-01 16:30:00,PRESSURE001,101325.0193,Pa
2025-06-01 16:40:00,PRESSURE001,101324.9057,Pa
2025-06-01 16:50:00,PRESSURE001,101324.9386,Pa
2025-06-01 17:00:00,PRESSURE001,101325.0316,Pa
2025-06-01 17:10:00,PRESSURE001,101324.9278,Pa
2025-06-01 17:20:00,PRESSURE001,101324.885,Pa
2025-06-01 17:30:00,PRESSURE001,101325.2313,Pa
2025-06-01 17:40:00,PRESSURE001,101324.8792,Pa
2025-06-01 17:50:00,PRESSURE001,101324.9766,Pa
2025-06-01 18:00:00,PRESSURE001,101324.9707,Pa
2025-06-01 18:10:00,PRESSURE001,101325.1554,Pa
2025-06-01 18:20:00,PRESSURE001,101324.9865,Pa
2025-06-01 18:30:00,PRESSURE001,101324.9459,Pa
2025-06-01 18:40:00,PRESSURE001,101325.0914,Pa
2025-06-01 18:50:00,PRESSURE001,101324.9144,Pa
2025-06-01 19:00:00,PRESSURE001,101324.979,Pa
2025-06-01 19:10:00,PRESSURE001,101324.9487,Pa
2025-06-01 19:20:00,PRESSURE001,101325.0651,Pa
2025-06-01 19:30:00,PRESSURE001,101325.1115,Pa
2025-06-01 19:40:00,PRESSURE001,101324.9508,Pa
2025-06-01 19:50:00,PRESSURE001,101325.0076,Pa
2025-06-01 20:00:00,PRESSURE001,101324.962,Pa
2025-06-01 20:10:00,PRESSURE001,101324.8906,Pa
2025-06-01 20:20:00,PRESSURE001,101325.1442,Pa
2025-06-01 20:30:00,PRESSURE001,101325.0828,Pa
2025-06-01 20:40:00,PRESSURE001,101325.0073,Pa
2025-06-01 20:50:00,PRESSURE001,101325.0689,Pa
2025-06-01 21:00:00,PRESSURE001,101325.0757,Pa
2025-06-01 21:10:00,PRESSURE001,101324.8864,Pa
2025-06-01 21:20:00,PRESSURE001,101325.0792,Pa
2025-06-01 21:30:00,PRESSURE001,101325.1392,Pa
2025-06-01 21:40:00,PRESSURE001,101325.1715,Pa
2025-06-01 21:50:00,PRESSURE001,101324.9727,Pa
2025-06-01 22:00:00,PRESSURE001,101325.1593,Pa
2025-06-01 22:10:00,PRESSURE001,101325.0846,Pa
2025-06-01 22:20:00,PRESSURE001,101324.9038,Pa
2025-06-01 22:30:00,PRESSURE001,101324.8938,Pa
2025-06-01 22:40:00,PRESSURE001,101324.8994,Pa
2025-06-01 22:50:00,PRESSURE001,101325.0139,Pa
2025-06-01 23:00:00,PRESSURE001,101324.8222,Pa
2025-06-01 23:10:00,PRESSURE001,101325.07,Pa
2025-06-01 23:20:00,PRESSURE001,101324.8734,Pa
2025-06-01 23:30:00,PRESSURE001,101325.1519,Pa
2025-06-01 23:40:00,PRESSURE001,101325.0711,Pa
2025-06-01 23:50:00,PRESSURE001,101325.1094,Pa
